2023-01-13 22:42:21.789 | INFO     |  4440 | __main__:main:50 | Starting message bus service...
2023-01-13 22:42:21.790 | INFO     |  4440 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2023-01-13 22:42:21.809 | INFO     |  4440 | __main__:on_ready:37 | Message bus service started!
2023-01-13 22:42:21.819 | INFO     |  4440 | tornado.access | 101 GET /core (127.0.0.1) 0.65ms
2023-01-13 22:42:21.913 | INFO     |  4440 | tornado.access | 101 GET /core (127.0.0.1) 0.39ms
2023-01-13 22:42:21.954 | INFO     |  4440 | tornado.access | 101 GET /core (127.0.0.1) 0.62ms
2023-01-13 22:42:22.122 | INFO     |  4440 | tornado.access | 101 GET /core (127.0.0.1) 0.40ms
2023-01-13 22:42:26.790 | INFO     |  4440 | tornado.access | 101 GET /core (127.0.0.1) 0.46ms
2023-01-13 22:43:27.669 | INFO     |  4440 | tornado.access | 101 GET /core (127.0.0.1) 0.39ms
2023-01-13 22:44:59.506 | INFO     |  4440 | __main__:on_stopping:45 | Message bus is shutting down...
