"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Wed Dec 28 23:06:42 GMT 2022","Wed Dec 28 23:06:42 GMT 2022","339","","behave","","","","add item",""
"passed","Wed Dec 28 23:05:37 GMT 2022","Wed Dec 28 23:05:38 GMT 2022","347","","behave","","","","set light brightness",""
"failed","Wed Dec 28 23:04:15 GMT 2022","Wed Dec 28 23:04:36 GMT 2022","20605","","behave","","","","toggle off switch",""
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","25","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"failed","Wed Dec 28 23:05:17 GMT 2022","Wed Dec 28 23:05:37 GMT 2022","20605","","behave","","","","turn on light",""
"passed","Wed Dec 28 23:06:42 GMT 2022","Wed Dec 28 23:06:53 GMT 2022","10302","","behave","","","","show image of missing entity",""
"passed","Wed Dec 28 23:06:00 GMT 2022","Wed Dec 28 23:06:00 GMT 2022","349","","behave","","","","read light state",""
"passed","Wed Dec 28 23:06:53 GMT 2022","Wed Dec 28 23:06:53 GMT 2022","377","","behave","","","","show image",""
"passed","Wed Dec 28 23:05:59 GMT 2022","Wed Dec 28 23:06:00 GMT 2022","328","","behave","","","","triger script",""
"passed","Wed Dec 28 23:06:31 GMT 2022","Wed Dec 28 23:06:42 GMT 2022","10302","","behave","","","","where is skill conflict -- @1.4 where is skill conflict",""
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Wed Dec 28 23:06:00 GMT 2022","Wed Dec 28 23:06:01 GMT 2022","379","","behave","","","","tracker",""
"failed","Wed Dec 28 23:03:54 GMT 2022","Wed Dec 28 23:04:15 GMT 2022","20607","","behave","","","","turn on switch",""
"passed","Wed Dec 28 23:03:53 GMT 2022","Wed Dec 28 23:03:54 GMT 2022","1114","","behave","","","","default sensor",""
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","5","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Wed Dec 28 23:03:54 GMT 2022","Wed Dec 28 23:03:54 GMT 2022","348","","behave","","","","climate sensor",""
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","0","unittests","test_haclient","TestAdditionalFunctions","","","test_normalize_entity","Test entity normalizing function
        Test cases contain in/out duos which should be equal"
"failed","Wed Dec 28 23:05:39 GMT 2022","Wed Dec 28 23:05:59 GMT 2022","20606","","behave","","","","turn off light",""
"passed","Wed Dec 28 23:06:42 GMT 2022","Wed Dec 28 23:06:42 GMT 2022","350","","behave","","","","set climate temperature",""
"passed","Wed Dec 28 23:06:01 GMT 2022","Wed Dec 28 23:06:11 GMT 2022","10302","","behave","","","","where is skill conflict -- @1.1 where is skill conflict",""
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Wed Dec 28 23:06:21 GMT 2022","Wed Dec 28 23:06:31 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.3 where is skill conflict",""
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"failed","Wed Dec 28 23:04:36 GMT 2022","Wed Dec 28 23:04:56 GMT 2022","20606","","behave","","","","toggle on switch",""
"failed","Wed Dec 28 23:04:56 GMT 2022","Wed Dec 28 23:05:17 GMT 2022","20605","","behave","","","","turn off switch",""
"passed","Wed Dec 28 23:06:11 GMT 2022","Wed Dec 28 23:06:21 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.2 where is skill conflict",""
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Wed Dec 28 23:03:50 GMT 2022","Wed Dec 28 23:03:50 GMT 2022","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Wed Dec 28 23:05:38 GMT 2022","Wed Dec 28 23:05:38 GMT 2022","343","","behave","","","","increase light brightness",""
"passed","Wed Dec 28 23:05:38 GMT 2022","Wed Dec 28 23:05:39 GMT 2022","344","","behave","","","","decrease light brightness",""
"passed","Wed Dec 28 23:05:59 GMT 2022","Wed Dec 28 23:05:59 GMT 2022","335","","behave","","","","triger automation",""
