"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 13 22:35:50 GMT 2023","Fri Jan 13 22:35:50 GMT 2023","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Jan 13 22:35:50 GMT 2023","Fri Jan 13 22:35:50 GMT 2023","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Jan 13 22:35:50 GMT 2023","Fri Jan 13 22:35:50 GMT 2023","0","unittests","test_haclient","TestAdditionalFunctions","","","test_normalize_dialog","Test dialog normalizing function used as decorator.
        Test cases contain in/out duos which should be equal"
"passed","Fri Jan 13 22:35:57 GMT 2023","Fri Jan 13 22:36:04 GMT 2023","7340","","behave","","","","turn off switch",""
"passed","Fri Jan 13 22:35:53 GMT 2023","Fri Jan 13 22:35:54 GMT 2023","1115","","behave","","","","default sensor",""
"passed","Fri Jan 13 22:36:58 GMT 2023","Fri Jan 13 22:37:08 GMT 2023","10303","","behave","","","","show image of missing entity",""
"passed","Fri Jan 13 22:36:05 GMT 2023","Fri Jan 13 22:36:06 GMT 2023","343","","behave","","","","set light brightness",""
"passed","Fri Jan 13 22:35:55 GMT 2023","Fri Jan 13 22:35:56 GMT 2023","380","","behave","","","","toggle off switch",""
"passed","Fri Jan 13 22:36:57 GMT 2023","Fri Jan 13 22:36:58 GMT 2023","335","","behave","","","","add item",""
"passed","Fri Jan 13 22:35:50 GMT 2023","Fri Jan 13 22:35:50 GMT 2023","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Jan 13 22:36:04 GMT 2023","Fri Jan 13 22:36:05 GMT 2023","1361","","behave","","","","turn on light",""
"passed","Fri Jan 13 22:35:55 GMT 2023","Fri Jan 13 22:35:55 GMT 2023","383","","behave","","","","turn on switch",""
"passed","Fri Jan 13 22:35:50 GMT 2023","Fri Jan 13 22:35:50 GMT 2023","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Jan 13 22:35:56 GMT 2023","Fri Jan 13 22:35:57 GMT 2023","1027","","behave","","","","toggle on switch",""
"passed","Fri Jan 13 22:36:26 GMT 2023","Fri Jan 13 22:36:36 GMT 2023","10302","","behave","","","","where is skill conflict -- @1.2 where is skill conflict",""
"passed","Fri Jan 13 22:36:09 GMT 2023","Fri Jan 13 22:36:15 GMT 2023","5785","","behave","","","","read light state",""
"passed","Fri Jan 13 22:35:50 GMT 2023","Fri Jan 13 22:35:50 GMT 2023","1","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Fri Jan 13 22:36:36 GMT 2023","Fri Jan 13 22:36:47 GMT 2023","10303","","behave","","","","where is skill conflict -- @1.3 where is skill conflict",""
"passed","Fri Jan 13 22:36:57 GMT 2023","Fri Jan 13 22:36:57 GMT 2023","348","","behave","","","","set climate temperature",""
"passed","Fri Jan 13 22:36:06 GMT 2023","Fri Jan 13 22:36:07 GMT 2023","350","","behave","","","","decrease light brightness",""
