"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 13 22:43:55 GMT 2023","Fri Jan 13 22:44:06 GMT 2023","10302","","behave","","","","where is skill conflict -- @1.1 where is skill conflict",""
"passed","Fri Jan 13 22:43:54 GMT 2023","Fri Jan 13 22:43:55 GMT 2023","918","","behave","","","","tracker",""
"passed","Fri Jan 13 22:43:23 GMT 2023","Fri Jan 13 22:43:23 GMT 2023","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Jan 13 22:44:26 GMT 2023","Fri Jan 13 22:44:36 GMT 2023","10303","","behave","","","","where is skill conflict -- @1.4 where is skill conflict",""
"passed","Fri Jan 13 22:44:36 GMT 2023","Fri Jan 13 22:44:37 GMT 2023","346","","behave","","","","set climate temperature",""
"passed","Fri Jan 13 22:44:16 GMT 2023","Fri Jan 13 22:44:26 GMT 2023","10302","","behave","","","","where is skill conflict -- @1.3 where is skill conflict",""
"passed","Fri Jan 13 22:43:34 GMT 2023","Fri Jan 13 22:43:34 GMT 2023","382","","behave","","","","toggle off switch",""
"passed","Fri Jan 13 22:44:37 GMT 2023","Fri Jan 13 22:44:37 GMT 2023","335","","behave","","","","add item",""
"passed","Fri Jan 13 22:43:35 GMT 2023","Fri Jan 13 22:43:43 GMT 2023","8282","","behave","","","","turn off switch",""
"passed","Fri Jan 13 22:43:53 GMT 2023","Fri Jan 13 22:43:54 GMT 2023","325","","behave","","","","triger script",""
"passed","Fri Jan 13 22:44:47 GMT 2023","Fri Jan 13 22:44:48 GMT 2023","380","","behave","","","","show image",""
"passed","Fri Jan 13 22:43:44 GMT 2023","Fri Jan 13 22:43:44 GMT 2023","344","","behave","","","","set light brightness",""
"passed","Fri Jan 13 22:43:23 GMT 2023","Fri Jan 13 22:43:23 GMT 2023","1","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Fri Jan 13 22:43:23 GMT 2023","Fri Jan 13 22:43:23 GMT 2023","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Jan 13 22:43:52 GMT 2023","Fri Jan 13 22:43:53 GMT 2023","1035","","behave","","","","triger automation",""
"passed","Fri Jan 13 22:43:33 GMT 2023","Fri Jan 13 22:43:34 GMT 2023","380","","behave","","","","turn on switch",""
"passed","Fri Jan 13 22:43:23 GMT 2023","Fri Jan 13 22:43:23 GMT 2023","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Fri Jan 13 22:43:45 GMT 2023","Fri Jan 13 22:43:52 GMT 2023","6980","","behave","","","","turn off light",""
