"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 13 07:26:11 GMT 2023","Fri Jan 13 07:26:11 GMT 2023","336","","behave","","","","decrease light brightness",""
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","7","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Fri Jan 13 07:26:00 GMT 2023","Fri Jan 13 07:26:01 GMT 2023","1621","","behave","","","","toggle on switch",""
"passed","Fri Jan 13 07:25:59 GMT 2023","Fri Jan 13 07:25:59 GMT 2023","381","","behave","","","","turn on switch",""
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","41","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Jan 13 07:26:09 GMT 2023","Fri Jan 13 07:26:10 GMT 2023","705","","behave","","","","turn on light",""
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Fri Jan 13 07:26:11 GMT 2023","Fri Jan 13 07:26:12 GMT 2023","1009","","behave","","","","turn off light",""
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","0","unittests","test_haclient","TestAdditionalFunctions","","","test_normalize_string","Test string normalizing function
        Test cases contain in/out duos which should be equal"
"passed","Fri Jan 13 07:27:02 GMT 2023","Fri Jan 13 07:27:02 GMT 2023","350","","behave","","","","set climate temperature",""
"passed","Fri Jan 13 07:26:21 GMT 2023","Fri Jan 13 07:26:31 GMT 2023","10303","","behave","","","","where is skill conflict -- @1.1 where is skill conflict",""
"passed","Fri Jan 13 07:26:31 GMT 2023","Fri Jan 13 07:26:41 GMT 2023","10302","","behave","","","","where is skill conflict -- @1.2 where is skill conflict",""
"passed","Fri Jan 13 07:26:20 GMT 2023","Fri Jan 13 07:26:21 GMT 2023","835","","behave","","","","tracker",""
"passed","Fri Jan 13 07:27:03 GMT 2023","Fri Jan 13 07:27:13 GMT 2023","10302","","behave","","","","show image of missing entity",""
"passed","Fri Jan 13 07:26:41 GMT 2023","Fri Jan 13 07:26:52 GMT 2023","10302","","behave","","","","where is skill conflict -- @1.3 where is skill conflict",""
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","0","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","2","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Jan 13 07:26:12 GMT 2023","Fri Jan 13 07:26:19 GMT 2023","6563","","behave","","","","triger automation",""
"passed","Fri Jan 13 07:26:19 GMT 2023","Fri Jan 13 07:26:20 GMT 2023","538","","behave","","","","read light state",""
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","1","unittests","test_haclient","TestAdditionalFunctions","","","test_normalize_dialog","Test dialog normalizing function used as decorator.
        Test cases contain in/out duos which should be equal"
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Jan 13 07:25:59 GMT 2023","Fri Jan 13 07:26:00 GMT 2023","380","","behave","","","","toggle off switch",""
"passed","Fri Jan 13 07:27:02 GMT 2023","Fri Jan 13 07:27:03 GMT 2023","332","","behave","","","","add item",""
"passed","Fri Jan 13 07:27:13 GMT 2023","Fri Jan 13 07:27:13 GMT 2023","375","","behave","","","","show image",""
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Fri Jan 13 07:25:53 GMT 2023","Fri Jan 13 07:25:53 GMT 2023","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Jan 13 07:25:58 GMT 2023","Fri Jan 13 07:25:59 GMT 2023","1089","","behave","","","","default sensor",""
"passed","Fri Jan 13 07:25:59 GMT 2023","Fri Jan 13 07:25:59 GMT 2023","338","","behave","","","","climate sensor",""
"passed","Fri Jan 13 07:26:01 GMT 2023","Fri Jan 13 07:26:09 GMT 2023","7675","","behave","","","","turn off switch",""
"passed","Fri Jan 13 07:26:10 GMT 2023","Fri Jan 13 07:26:10 GMT 2023","339","","behave","","","","set light brightness",""
"passed","Fri Jan 13 07:26:19 GMT 2023","Fri Jan 13 07:26:19 GMT 2023","774","","behave","","","","triger script",""
"passed","Fri Jan 13 07:26:52 GMT 2023","Fri Jan 13 07:27:02 GMT 2023","10308","","behave","","","","where is skill conflict -- @1.4 where is skill conflict",""
"passed","Fri Jan 13 07:26:10 GMT 2023","Fri Jan 13 07:26:11 GMT 2023","698","","behave","","","","increase light brightness",""
