2023-01-13 07:24:48.059 | INFO     |  4523 | __main__:main:50 | Starting message bus service...
2023-01-13 07:24:48.060 | INFO     |  4523 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2023-01-13 07:24:48.075 | INFO     |  4523 | __main__:on_ready:37 | Message bus service started!
2023-01-13 07:24:48.097 | INFO     |  4523 | tornado.access | 101 GET /core (127.0.0.1) 0.62ms
2023-01-13 07:24:48.098 | INFO     |  4523 | tornado.access | 101 GET /core (127.0.0.1) 0.34ms
2023-01-13 07:24:48.241 | INFO     |  4523 | tornado.access | 101 GET /core (127.0.0.1) 0.50ms
2023-01-13 07:24:48.253 | INFO     |  4523 | tornado.access | 101 GET /core (127.0.0.1) 0.48ms
2023-01-13 07:24:48.404 | INFO     |  4523 | tornado.access | 101 GET /core (127.0.0.1) 0.47ms
2023-01-13 07:25:57.077 | INFO     |  4523 | tornado.access | 101 GET /core (127.0.0.1) 0.39ms
2023-01-13 07:27:25.169 | INFO     |  4523 | __main__:on_stopping:45 | Message bus is shutting down...
